start	end	text
545400	552520	figure, Boyd Bushman. Bushman's deathbed claims of working on UAP R&D for Lockheed released in
552520	560520	2014 and have become stuff of legend for UFO researchers. In this video, Boyd states that
560520	567880	debris and materials were recovered from crash recoveries plural in New Mexico, likely Roswell
567880	574120	and maybe the Kingman Arizona crash. He comments on the company's work with anti gravity and states
574120	582280	his work on UAP craft concluded that these craft contain three key elements in their makeup,
582280	589000	telluride, germanium and palladium. Worthy to note is that these materials Bushman suggests
589000	596600	comprised UAP could be used to create a thermoelectrical slash photovoltaic generator with a semiconductor
596600	602360	and capacitor as pure germanium was the first metallic material to become a superconductor
602360	608680	in the presence of an electromagnetic field. Palladium is crucial to capacitors and telluride
608680	614600	alloys have thermoelectric or photovoltaic properties. This isn't crucial to know you don't
614600	619720	need to be a material scientist but this sort of material science led some credence to what
619720	624360	Bushman claimed. Please feel free to view the whole testimony, of course the video will be in
624360	631560	the description but I want to focus on Bushman himself. Boyd is a verified senior specialist
631640	638440	and top secret SEI SAP cleared employee that served in Lockheed department 610-8,
638440	646040	the special programs division. In 1999, Bushman came under FBI investigation for suspicious foreign
646040	652120	contact. Lockheed became concerned about the potential of Boyd sharing sensitive information
652120	658680	with what appears to be contacts in Prague and it's unknown if all of this contact was UAP related
659640	664760	but from our investigation it looks like Boyd was contacting members in Prague to learn more
664760	671640	about anti-gravity. Bushman was awarded numerous patents including strangely in 1997
672360	678360	a patent for a device that creates a magnetic monopole beam that emits pulses, levitates,
678360	684680	degausses, stops electronics and separates materials. Monopoles currently are not proven
684680	691160	to exist in the public or physics sector and are an incredibly interesting topic. I recommend
691160	695720	checking out this video by PBS spacetime if you want to learn more about magnetic monopoles
696360	703080	but Boyd was the real deal right? Well yeah except for the alien bodies he showed in photographs.
703960	710440	The tiny looking gray creature can be traced back to a toy model originally claimed by an above
710520	718440	top secret forum thread in 2008 to be a Kmart Halloween decoration from the late 1990s. No
718440	723320	verifiable evidence can be drawn to the toys listing however this is not a great look for
723320	729480	Bushman. Whether purposeful or accidental disinformation I'm not sure but with the presence
729480	735720	of the two we are faced with three options that some government agency had some toy company that
735720	743160	made models make up alien toys that appeared similar to the real aliens that resided in Area 51
743160	748520	or Groom Lake so that if photos were ever leaked like they were with Bushman they could leak photos
748520	755080	of the toy as a way to discredit any whistleblower. Option two is that the photo of the model alien
755080	760040	was given to Bushman in order to discredit him and take away from his story and three of course
760840	766920	Boyd purposefully pushed the photo of the toy for whatever reason and now we arrive to the last
766920	771640	and probably the best and most credible speaker with regards to employment in Lockheed, Bernard
771640	778520	Haish. PhD astrophysicist Haish performed astonishing work for Lockheed including the
778520	783640	publishing of a paper for the Lockheed Martin Advanced Technology Center with physicist Hal
783640	790120	Putoff. The paper focused on zero point energy of the quantum vacuum. The study specifically
790120	795800	looked at one or more resonant frequencies that may be associated with quantum vacuum interaction
795800	800840	for propulsion purposes. I'll mention this again soon so keep that study in mind.
801720	809560	In 2001 Haish wrote an essay titled Black Special Access Programs. He had created a site
809560	816040	called UFOSkeptic.org. Don't let this site name fool you he just wanted scientists to come together
816040	821480	to analyze UAP with a little bit more of a critical lens. To respect our time I am just
821480	826200	going to summarize this article I'm not going to read the whole thing but Haish essentially confirms
826200	831400	the world we came to know in 2023 with the revelations of David Grush that these black
831400	836840	special access programs on crash retrieval and reverse engineering can be quite independent
836840	842920	of any given administration and it's unrealistic to think that Freedom of Information Act requests
842920	849880	and even presidential administrations can penetrate and read into these programs that over time these
849880	856840	black budget programs become extremely independent and to trace their origin instead of intelligence
856840	862120	they most likely fall under the office of the Undersecretary for Defense for Acquisition Technology
862120	867640	and Logistics. What is even more astounding however are the comments Haish made to the public
867640	873960	in 2018 after the existence of ATIP was revealed to the American public. He said quote the following
873960	880120	is conjecture sources tell me that this is merely the tip of the iceberg a group of four related but
880120	887400	separate unacknowledged SCI programs tracing back to a 1947 Truman memorandum still exist and were
887400	893320	housed as of the 1990s guys remember the Wilson Davis Memo and the reorganization of SAPs in that
893320	899800	time in major aerospace companies such as for example Lockheed, TRW, Raytheon, Aerospace Corps,
899800	905000	etc these would be expensive programs since the cost of secrecy can be several times higher than
905000	911480	research the ATIP program has no relation to these four much better funded deep black ones
911480	916760	indeed the black programs collectively have budgets in the 10 billion range and up topics
916760	922040	apparently include both reverse engineering and extraterrestrial biology the ATIP did find
922040	927240	the UFO crash retrieval program via official channels but was denied access to it because
927240	933720	ATIP itself is not a SAP. Senator Harry Reid petitioned the DOD to confer SAP status to ATIP
933720	940520	but the DOD denied his request and lastly guys while not a Lockheed employee let's take a look at
940520	946200	USAF Master Sergeant Edgar Fausch. Fausch has made some astounding statements on Lockheed with
946200	952600	some really weird evidence to back it. In 1998 the Master Sergeant states he temporarily worked
952600	959720	at the Defense Advanced Research Center, DARSE, in 1979 which he claims is a facility beneath
959720	965240	Groom Lake with at least 10 underground stories. Fausch states he was recruited to DARSE while
965240	971080	working at the Jet Propulsion Laboratory at Edwards Air Force Base. He claimed that triangular craft
971080	977000	had been reverse engineered by UAP contracted by none other than Lockheed Martin. The Sergeant
977000	983320	coined the now famous term the TR-3B which is synonymous with human-made reverse engineered
983320	988760	triangular shaped craft and states three prototypes have been reverse engineered by efforts at
988760	994680	Sandia and Livermore dating back to the early 1990s and was the first attempt at a gravity
994680	1001240	warping craft. What is truly wild here is we can confirm not only Fausch's military record but also
1001240	1008360	the fact he was actually stationed at the famed Area 51. Look here guys Ed was assigned to Debt-3
1008360	1014120	AFFTC which is the organization at the Air Force Flight Test Center responsible for operations
1014120	1021160	at Area 51 Groom Lake but of course Ed's line because the DARSE, the Defense Advanced Research
1021160	1027400	Center is not part of DARPA right? Well look guys a declassified study from the Advanced Research
1027400	1034120	Project Agency ARPA shows advanced aerospace projects were performed by Warner Von Braun's team
1034120	1041560	at the Army Ballistic Missile Agency ABMA. A draft by the DOD directive shows the ABMA was
1041560	1048760	considered for a transfer into a quote defense advanced research center that would be inherently
1048760	1054120	linked to JPL. It's unconfirmed if DARSE was actually created and if any advanced
1054120	1060440	aerospace concepts from Von Braun made their way there but look guys DARSE is actually a theoretical
1060440	1070440	place. As mentioned by Bushman, Haish, and Phillips Lockheed has engaged with some incredibly
1070440	1076120	strange and exotic technologies that appear like they're straight out of science fiction.
1076120	1082280	Can we confirm any of this work like anti-gravity or strange propulsion methods?
1083080	1091000	Well in 1955 physicist Lou Witten states that he was recruited by one George Trimble the current
1091000	1097160	VP for aviation and advanced propulsion systems at the Glenn L. Martin Company. The Glenn L.
1097160	1103640	Martin Company eventually evolved into Martin Marietta which merged with Lockheed in 95.
1103640	1109080	Anyways Witten states that he was recruited into the Research Institute for Advanced Studies,
1109080	1117480	the RIAS. Witten stated that Trimble recruited him to help develop anti-gravity and in 2013
1117480	1124920	actually stated that the team discovered techniques to harness anti-gravity in this project. Witten
1124920	1131080	suggested several ideas were tested including utilizing an isotope of bismuth but he does not
1131080	1136680	expand on this. And shocking enough we actually have the journal evidence to prove that this
1136680	1141800	research took place. And if you want to see Lou Witten talk about this look at the link I've
1141800	1149240	provided and go to about an hour 49-22. The anti-gravity rabbit hole runs deep way deeper than
1149240	1154680	the discussion by Bushman Phillips and Fausch. I'll cover this in another time guys because
1154680	1161080	the anti-gravity starting on about 1955 this research is fascinating. But remember how I
1161080	1167320	mentioned in 1998 Hesh and Putoff published a paper on zero point energy in the quantum vacuum?
1167320	1172680	If you don't know real fast zero point energy is the lowest possible energy level or ground state
1172680	1177400	in a quantized electromagnetic field which interacts with a physical system of particles.
1178040	1183640	In a quantum vacuum vacuums must always crackle with fluctuations in the quantum field that fill
1184040	1189800	these never-ending fluctuations imbue every field with some minimum amount of energy known as the
1189800	1194680	zero point energy. Guys you don't need to pay attention to that just know that this is pretty
1194680	1201560	breakthrough stuff but theoretically impossible zero point energy. But if you look to 2017 inventor
1201560	1207800	Salvador Pais and the naval air station were awarded a patent for a similar concept for a
1207800	1213800	triangular shaped craft that utilize specific frequencies to interact with the quantum vacuum
1213800	1222040	and generate anti-gravitic capabilities. Sounds like UAP right? Well on the 22nd of August 1998
1222040	1227320	now retired Lieutenant Colonel Ron Blackburn of Lockheed Martin Skunkworks and co-founder of the
1227320	1234680	ATP group at BDM International was awarded a patent for technology that increased aerodynamic
1234680	1240680	and hydrodynamic efficiency of a vehicle in motion that includes a sketch of a disc.
1241320	1246680	Several years later Blackburn states on a podcast he reverse engineered the capabilities to eliminate
1246680	1253880	sonic booms at high speeds by using videos of disc-shaped craft he had access to. Guys think
1253880	1260040	about this this has multiple of the observables of UAP by Lou Elizondo the ability to operate in
1260040	1265240	trans-medium remember the hydrodynamic and aerodynamic efficiency as well as travel at
1265240	1270200	mock speeds without the presence of a sonic boom this sounds like UAP technology.
1274760	1281320	Guys this is a UAP group video so let's analyze all the documents we can. Believe it or not Lockheed
1281320	1288600	has had some interesting encounters with official USG record keeping such as this 1953 UFO sighting
1288680	1293800	where Lockheed test pilots and ground crew observe a flying disc with anomalous acceleration
1293800	1301000	characteristics three men also swore this sighting as testimony the sighting was submitted to
1301000	1307960	bluebook but was never listed again curiously and guys think back to my video on the Wilson Davis
1307960	1314040	memo where Wilson Davis states the watch committee of the Black UFO crash retrieval and reverse
1314040	1319640	engineering program he discovered within the SAP logs told him they were almost outed due to an
1319640	1328120	audit well check this out guys on the 24th of July 1986 the director of the US general accounting
1328120	1335080	office GAO's national security and international affairs division Frank C. Conahan testified
1335080	1341080	at a subcommittee on oversight and investigation Conahan stated that Lockheed exhibited a poor
1341080	1347880	document control system over classified special access documents and had zero oversight from the
1347880	1354120	DOD program office it was then that the GAO stated the defense investigation service was
1354120	1360920	actually not allowed to conduct the semi-annual inspects of the aerospace contract in question
1360920	1369880	and 1460 discrepancies were found in an inventory of 40 000 documents with Lockheed an estimated 46
1369880	1374920	documents were destroyed and 17 were transferred out of the company and were never discovered
1375640	1381160	guys this sounds extremely suspicious the poor document control system of Lockheed and somehow
1381160	1389880	missing 46 documents and a full 1460 discrepancies well this strangeness and Lockheed's hand in deep
1389880	1397240	special access programs above even DOD oversight does not end here in June of 2004 former assistant
1397240	1402920	secretary of housing and urban development Catherine Austin Fitz wrote a paper titled The Black
1402920	1409640	Budget of the United States this paper says that quote a large proportion of the nation's wealth
1409640	1416600	is being illegally diverted into secret unaccountable channels to support clandestine domestic
1416600	1422440	military r&d she states she discovered evidence that Lockheed Martin information systems were
1422440	1429480	responsible for the obfuscation of justice and may have data on the siphon DOD funds Lockheed at
1429480	1435160	this time was one of the subcontractors to IBM as hired by the Pentagon to manage systems that
1435160	1441240	failed a GAO audit so we have to think all of this taking place all of Lockheed's kind of
1441240	1448200	shadiness around DOD and mistracking of funds are they involved with the audit as spoke about in
1448200	1455560	the Wilson Davis memo and to add the icing on top here guys in 2000 commander Will Miller yes the
1455560	1461320	same Miller from the Wilson Davis memo told attorney Peter Gersten that senior government
1461320	1468680	officials such as a DIA director are isolated from UAP knowledge quote the keepers of the secrets
1468680	1477240	reside in DOD middle management and civilian contractors like SAIC Boeing and Lockheed and
1477240	1482760	are basically the comptrollers who monitor the flow of money to certain classified and special
1482760	1495880	access programs black triangles are a legendary shape of UFO seen for decades and are the responsible
1495880	1501560	craft behind the 1989 Belgian UFO wave well what if I told you that there's a paper trail of evidence
1501560	1508920	that suggests this black triangle commonly known as the TR3B is actually a Lockheed Martin UAP
1508920	1517240	reverse engineering program called project Astra Aurora the first mention we can find of Aurora is
1517240	1524600	in the Department of Defense's fiscal year 1986 and 1987 where 80 million was planned to be spent
1524600	1532040	on an Aurora program in 86 and 2.3 billion in 87 for reference this was more than double the cost
1532040	1539240	of the b2 spirit bomber in fact in 1997 John Greenwald of the black vault inquired into Aurora
1539240	1546520	but was denied any sort of access then in the late 1990s we can go back to author Nick Cook of the
1546520	1552120	hunt for zero point who interviewed former head of Lockheed Martin Skunkworks Jack Gordon while
1552120	1558040	leading the plant in Palmdale Nick Cook saw a large chart illustrating the lineage of every
1558040	1564920	Skunkworks aircraft since the XP80 past the Dark Star which is the plane in the film Top Gun Maverick
1564920	1570680	there was something called Astra an ultra high-speed reconnaissance craft that looked triangular in
1570680	1577480	shape and it looked similar to some of the triangle seen in Belgium in the early 90s and when Cook
1577480	1583640	asked Gordon was flustered and denied Astra was anything but an old airliner and while we're
1583640	1588440	here let's not forget about the triangle shaped craft Fausch claimed Lockheed possession was actively
1588440	1595160	reverse engineering at Darse and do you guys remember the release of the Calvin UFO photo in
1595160	1603720	2022-2023 which was taken in Scotland and depicts a large triangle diamond shaped UFO that was
1603720	1609800	referenced by the British Ministry of Defense well if you look closely at former project Condon
1609800	1616760	that was the Ministry of Defense's official UFO investigation program the Calvin UFO photo is listed
1616760	1624200	as Astra slash Aurora photos among other 35 millimeter slides that don't appear on this last
1624200	1631800	file this could be very significant as in this same M.O.D. Condon report the Brits were interested
1631880	1639480	in investigating UAP sourced from USG contractor projects and this Aurora slash Astra may be listed
1639480	1644840	here was even more interesting to note this Condon report took special interest of triangle
1644840	1650600	sightings as seen here in the executive summary page of the report and it appears the British
1650600	1657800	had taken a keen interest in Aurora or Astra as a USG UAP triangle craft reverse engineered
1657800	1663480	because back in the 22nd of December 1992 the British Embassy in Washington DC
1663480	1669960	wrote to a assistant chief of air staff in London regarding the USG's reaction to triangular UAP
1669960	1676360	citing specifically a sighting that occurred three years earlier by a British royal observer
1676360	1683800	core member this investigation into USAF caused quote considerable irritation by the Brits and
1683800	1688200	the British officials who monitored the USG reaction are quoted as saying Secretary of the
1688200	1695000	Air Force Donald B. Rice was to say the least incensed by the renewed speculation that he had
1695000	1701320	lied to Congress by stating that Aurora did not exist so as we can see guys a lot more work needs
1701320	1706840	to be done investigating Aurora slash Astra but these strings connect triangular shaped craft to
1706840	1712680	both Lockheed Martin and USAF and that the British M.O.D had a keen interest in finding out what the
1712680	1718600	heck these things were. What's up guys I hope you enjoyed this look into Lockheed Martin and UAPs
1719400	1724200	as you can see after watching this video there are a ton of public figures who make
1724200	1730520	pretty bold claims about Lockheed and while these claims are most likely true as confirmed by Grush
1730520	1737640	and other key people it's really hard to actually get to the bottom of this if you see our paper
1737640	1745400	trail is not exceedingly long we have Lockheed Martin interacting with Blue Book in the 50s and
1745400	1752680	we have our audit trail that you know very likely is involved with the audit mentioned in the Wilson
1752680	1759640	Davis memo that the watch committee had to basically reorganize SAP status in the 90s to
1760680	1766760	hide themselves better but what do you guys think is is Lockheed as much of a player in
1766760	1772360	the reverse engineering and material exploitation of UAP as Patel I personally think so yes but
1772920	1779000	they are just a lot harder to track down as our nation's largest defense contractor I imagine
1779000	1784120	they have some pretty darn good record systems too keep stuff like this out what did you guys
1784120	1790280	think of the witnesses I'd say order of most credible to least credible we got Bernard Haish
1790520	1797320	Boyd Bushman and Don Phillips Don Phillips it's unfortunate I can't verify his background so
1797320	1803240	it's really hard for me to take his word as gospel Boyd Bushman a really interesting witness says
1803240	1810520	some interesting things but the toy alien I more analysis needs to be done there but quite frankly
1810520	1817080	I'm not sure where to go from there but in addition the Aurora Astra could be its own
1817080	1822680	hour long documentary but I just wanted to do a a summary an overview of what's going on because
1822680	1831720	there's a lot more to Aurora Astra including aerospace illustrator Mark McCandlish seen something
1831720	1837160	called the TR3B or the triangular shaped craft in Lockheed Martin while leaving a facility and so
1837160	1841480	forth so there's a lot more to dive into guys maybe I'll do that someday but I need a little bit
1841480	1846280	more information on Aurora Astra some concrete information to make another video because this
1846280	1852040	video is a lot of speculation for for what I like pushing the boundaries of speculation versus fact
1853000	1861160	but this was an exhausting list of facts and data to make so please give a like and subscribe and I
1861160	1867960	will catch you guys on the next show and before you go in victory or defeat I support the best
1867960	1871320	athlete in the world Alexander Volkanovsky goodbye everybody
