start	end	text
958000	960000	to be UFO craft retrieval operators.
960000	963000	So don't get that confused as we talk about blue team guys.
963000	967000	These are going to be guys that Greer states are black program insiders who are kind of
967000	971000	good guys who want the truth to come out.
971000	975000	People Greer states were sent to him because top brass in the Pentagon weren't read into
975000	977000	the UFO situation.
977000	982000	Greer makes a direct mention to briefing Admiral Thomas Wilson, which of course is now really
982000	986000	interesting with Eric Davis confirming the Wilson Davis notes.
986000	991000	But he also talks about him briefing the CIA director in the early 90s.
991000	996000	And I know this is a contentious point about Greer briefing the CIA director.
996000	999000	I believe he states he sat down and briefed the director.
999000	1003000	And I believe the counter argument to that is Greer just blasted out an email to the CIA
1003000	1006000	director who just kind of read it and threw it in the bin.
1006000	1011000	So I'm not sure if that conversation has advanced very much.
1011000	1013000	Stubblebind died in 2017.
1013000	1014000	Yeah.
1014000	1015000	He's no longer with us.
1015000	1018000	So we can't be contacted here.
1018000	1024000	And Greer says a lot of this kind of contact about good guys, white hats, blue team in the
1024000	1030000	air who contacted him wanting to kind of restore oversight to black programs was under the Clinton
1030000	1031000	administration.
1031000	1039000	So this for me is a new line of research to head down kind of what went on under the Clinton
1039000	1040000	administration.
1040000	1045000	So let's go on to slide two.
1045000	1046000	Sorry.
1046000	1047000	Sorry.
1047000	1048000	Wrong window.
1048000	1051000	Let's go on to slide two.
1052000	1058000	Here Greer talks about how if you guys remember the 2001 disclosure briefing document, I highly recommend it.
1058000	1060000	Let me pull it up.
1060000	1065000	If you guys have never read this document, it is brilliant.
1065000	1068000	It's it's Greer's best piece of work.
1068000	1069000	And I will always stand by that.
1069000	1071000	This is fantastic.
1071000	1078000	But Greer states he was asked to make his disclosure briefing document in order to brief Senate intelligence and the
1078000	1079000	armed services staff.
1079000	1082000	So this would have been in the early, mid to late nineties.
1082000	1088000	Greer states he was contacted by the most senior person, a staff for Senate of the gang of eight.
1088000	1094000	And this member of the gang of eight and his senior staff are kind of knocked on the doors internally in the
1094000	1097000	Department of Defense and the Pentagon, but were denied.
1097000	1104000	So Greer also states he was brought in a skiff, but didn't need clearance.
1104000	1113000	Because his DPR DPI archive had more actionable intelligence and information than the intelligence community on UAP.
1113000	1117000	So that was pretty, that was pretty interesting to me.
1117000	1121000	Greer was then approached kind of earlier in the 2020s into a skiff.
1121000	1126000	He said he brought the Trump presidential briefing document to a skiff.
1126000	1133000	We know that Lou Elizondo and Ross Colt Hart have stated that Trump has brought in a skiff.
1133000	1138000	Trump has been somewhat, if not fully briefed into the UAP situation.
1138000	1140000	I still haven't really researched that.
1140000	1142000	So I don't really have an opinion.
1142000	1146000	Greer likes to add in these little details to kind of add drama.
1146000	1148000	It's great showsmanship actually.
1148000	1150000	It kind of really engages the audience.
1150000	1154000	He says in this specific meeting there was a bourbon bottle in the middle of the table.
1154000	1158000	Within 10 minutes, the intelligence guys were desperately reaching for the bottle.
1158000	1161000	It's just a little bit of unnecessary fluff.
1161000	1167000	Greer states he has been in skiffs multiple times, each with top secret, secret, compartmentalized intelligence.
1167000	1174000	Clearance folks who were all astonished at how long Stephen Greer has been doing this, pushing for disclosure.
1174000	1180000	So Greer now kind of talks about this law enforcement update.
1180000	1183000	And this is where things get really interesting guys.
1183000	1190000	So if you're kind of halfway paying attention, I would lock in here because this is a little bit of new stuff from Greer.
1190000	1194000	Greer states he is in contact with top tactical operations people.
1194000	1201000	These are Green Berets, SEALs, JSOC people who are all coming together behind closed doors to support Greer.
1201000	1209000	All these commanders, these current tactical operations officers are seeking briefings from Greer.
1209000	1216000	They have been asked by somebody, not sure because Greer doesn't devolved to bring black projects back under congressional oversight.
1216000	1224000	So in summary, Greer's stating that a lot of JSOC leaders are being asked to bring the program back under control and moving with Greer.
1224000	1226000	This is very interesting.
1226000	1239000	Greer says, and I quote, that there are plans or possible plans to quote unquote, roll on dugway proving grounds, Area 51, Edwards Air Force Base and other black sites.
1239000	1240000	Roll on.
1240000	1242000	He says, take them back.
1242000	1253000	If taking these sites back involves any sort of force or a legal entry or brute force entry, does this not egregiously violate OPSEC?
1253000	1266000	Because I think what Greer is referring to is by force taking back these sites that he says are under black project control because Greer also goes on to state that black program leaders dwarf Hitler and the Nazis,
1266000	1272000	which, you know, that's always never a in great taste.
1272000	1278000	Yes, he has mentioned this before on kind of podcast before about forcibly enter entering these sites.
1278000	1283000	But I don't think he's fully pieced everything together with kind of who he's talking to in order to do that.
1283000	1285000	But I could absolutely be wrong.
1285000	1289000	For the SAP whistleblower protection Greer has been talking about.
1289000	1300000	Since June, 2024, Greer has been tasked and with others for providing OPSEC for whistleblowers, 762 of these according to Greer.
1300000	1308000	These cover individual for all firsthand individuals according to Greer, people who are there when craft were shot down, reverse engineered, etc.
1308000	1313000	The program is operational for US whistleblowers only with his show in.
1313000	1314000	It could be wrong.
1314000	1316000	I very well could be wrong.
1316000	1324000	We're talking about Greer's project today, his speech in London, his event there.
1324000	1325000	There was a webinar.
1325000	1329000	There was an in it kind of in person show I bought the pay per view.
1329000	1332000	So we're talking about that.
1332000	1333000	Florian, thank you very much.
1333000	1334000	I really appreciate that.
1334000	1336000	Thank you very much.
1336000	1338000	He might have talked about it on Sean Ryan.
1338000	1339000	He might have.
1339000	1341000	I got to listen to that again.
1341000	1348000	But yeah, Greer does suck at OPSEC something will continue to talk about today.
1348000	1353000	So yeah, so this this program Greer States is for US whistleblowers only.
1353000	1355000	He's trying to get something set up in the UK.
1355000	1358000	He basically asks for funding and backing there.
1358000	1366000	And this is a special access program to protect firsthand whistleblowers from presumably threats on their life.
1366000	1370000	Greer talks about deep cover defectors.
1370000	1374000	And he addresses this in parallel to catastrophic disclosure.
1374000	1381000	He states there's a group currently with performing operations within black projects who are trapped within the system.
1381000	1392000	Greer States is trying to work with these people to kind of, you know, bring these black operations back under congressional oversight or possibly roll on them if that needs be.
1392000	1400000	Greer also goes on to talk about how after his viewing of a dumb entrance, which we'll talk about soon, he was almost killed.
1400000	1403000	This is a gross exaggeration.
1403000	1405000	He fell.
1405000	1407000	He fell off his bike.
1407000	1411000	So yeah.
1411000	1415000	So sorry, let me let me get through a couple of comments here.
1415000	1421000	Let's see Greer sucks at OPSEC got my PC admitting he I'd like to see that if you would like to post that.
1421000	1423000	As well.
1423000	1425000	Lazar was used for soft disclosure.
1425000	1428000	Get the attention of Harry Reid.
1428000	1430000	He was 23 and an eccentric.
1430000	1434000	Interesting.
1434000	1436000	Yes, I have that's that's also great.
1436000	1439000	I think that's kind of making the news rounds of late.
1439000	1441000	Very interesting.
1441000	1447000	So Greer likes to state that 90% of what is known in ufology is disinformation.
1447000	1454000	He states he has the 10% that is considered real information included in the 90%.
1454000	1458000	This is a slide from the presentation is that we don't have man made UFOs.
1458000	1465000	This is a point kind of I have really sort of changed my position on in the past few months.
1465000	1474000	The alien threat interdimensional phenomena, which is weird because Greer will later on in the second half of this presentation talk about internet interdimensional phenomena.
1475000	1478000	ETs are demons, abductions, weapons in space.
1478000	1486000	When the truth and we'll kind of get into this in the second half as well is really kind of new age woo stuff.
1486000	1493000	If you if you guys know what that is about kind of raising consciousness, vibrations, stuff like that.
1493000	1496000	See, peaceful CE5 contact enlightenment, universal peace.
1496000	1497000	And I'm not saying there's nothing to that.
1497000	1503000	I just think it's a I always think it's interesting when people claim to have all the answers when Greer says that 90% of what's known in ufology.
1504000	1508000	Is disinformation, but his 10% is the true information.
1510000	1513000	Greer talks about DPI archive.
1513000	1517000	He says that it will take years for people to sift through all the information.
1517000	1519000	That's just demonstrably untrue.
1519000	1521000	We can sit through the info here.
1521000	1523000	Of course, we have 13 sections here.
1523000	1530000	Greer says he has a 14th session here that he can't wait to talk about and post on the site.
1530000	1532000	So I'm really excited to see that.
1533000	1534000	Or thank you so much.
1534000	1536000	I really appreciate that.
1536000	1540000	Starbucks is extremely, extremely expensive.
1540000	1542000	Consciousness is the key to all of this.
1542000	1543000	I absolutely agree.
1543000	1549000	There's there's much of kind of human cognition, human consciousness in terms of the UAP phenomena.
1549000	1557000	I just find it a little bit strange when Greer says that his 10 he is the one who holds 10% of the true information.
1558000	1566000	So Greer, and now is when we'll kind of go into a little bit of the discussion of some of the whistleblowers and witnesses he talks to.
1566000	1574000	Something I took special note of, which I found kind of funny is Greer talks about the pages and pages, the 23 pages of redacted witnesses.
1574000	1578000	But Greer says he likes to honor the whistleblowers request for confidentiality.
1578000	1584000	Anybody who's seen any of my videos will know that's just his operational security is absolutely dreadful.
1584000	1592000	So next we'll start talking about illegal operations, locations, corporations based on intel from his witnesses.
1592000	1596000	You guys know the Greer facility list.
1596000	1602000	If you don't let me pull that up facilities maps and list.
1602000	1608000	So Greer has all of these facilities, including maps pointing towards them.
1608000	1610000	Sorry, that looks nice and reversed colors.
1610000	1614000	All of these are garnered from the pages of witness testimony here.
1614000	1619000	For example, you know, we can look at Dugway Proving Grounds as given by MS.
1619000	1627000	We can go over here to a little place in Indiana where we might know a spot and so on.
1627000	1635000	But and so Greer talks about now the first dumb entrance to which he was taken to.
1635000	1643000	This is he states is the anthill in the eastern desert of California or western desert of Nevada.
1643000	1653000	Let me pull up with this place is called because I actually found it and I need to.
1653000	1655000	Sorry guys just give me a second here.
1655000	1664000	I need to find out exactly what this place is called again.
1664000	1672000	So I can get you guys exact exact locations.
1672000	1680000	Greer states this location that we're talking about is basically an entrance to a dumb or a deep underground military base.
1680000	1684000	If you can go online, you can find this exact place.
1684000	1687000	Sorry guys.
1687000	1693000	It's what's known as a volcanic cinder cone like volcano offshoots.
1693000	1698000	Greer stating this is a dumb entrance and let me pull up the exact place.
1698000	1699000	Sorry.
1699000	1701000	I forgot what this place is is called.
1701000	1703000	Is it called the Salt Lake?
1703000	1704000	Yes.
1704000	1705000	Okay.
1705000	1707000	Got it.
1707000	1712000	If you want to find this place on Google Maps, this is called the Salt Lake Cinder Cone.
1712000	1713000	Okay.
1713000	1720000	This is the exact entrance that Greer is stating is a dumb entrance right here the Salt Lake Cinder Cone.
1720000	1722000	I can get a nice zoom in.
1722000	1724000	This, as I said, is a cinder cone.
1724000	1728000	We can look by because these generally occur near volcanic activity.
1728000	1734000	And I think there's a volcano located about 25 miles or so northeast of this location.
1734000	1736000	I'm not sure if these are other cinder cones.
1736000	1740000	I'm not a rock specialist, but this location right here.
1740000	1744000	I don't understand where the entrance here is.
1744000	1752000	If anything, this possibly could be dirt moved for underground locations, but I don't know where an entrance could be in this location.
1752000	1755000	Let me say a couple, thank you guys real fast.
1755000	1758000	And we got the next location to talk about a little something to somewhere.
1758000	1759000	Thank you very much.
1759000	1760000	Tell us and thank you for the boost too.
1760000	1762000	I really appreciate that.
1762000	1763000	Maglevs connecting all the DUNS.
1763000	1769000	Yes, we will talk about that too because Greer touches on it.
1769000	1770000	Sorry.
1770000	1773000	My questions are, are you familiar with Northrop Ant Hill?
1773000	1774000	Yeah.
1774000	1777000	Greer calls this Northrop Ant Hill, I think.
1777000	1782000	I'm actually, because he calls this the Ant Hill as a DUM.
1782000	1789000	So he calls this, yeah, as we can see the Ant Hill.
1789000	1790000	Sorry.
1790000	1791000	Okay.
1791000	1793000	Crackerjack, thank you very much.
1793000	1794000	Greer stones.
1794000	1795000	I turn over.
1795000	1802000	Greer does awesome work and he, I still recommend checking out all of his documentaries and kind
1802000	1805000	of paying attention to what he says because it's very interesting.
1805000	1808000	So you guys will probably know this site.
1808000	1814000	Next, Greer talks about the Hellendale site, the Lockheed Martin Hellendale site.
1814000	1823000	Now what's really interesting here guys is let's get back to the DPI archive.
1824000	1836000	So if we go to UFO kind of secret related facilities, top priority documents and so forth with some photos of stuff.
1836000	1840000	A Hellendale location, there used to be multiple images on here.
1840000	1845000	So I'm not quite sure why Hellendale was taken off of the DPI archive.
1845000	1850000	And I can also state for a fact that within the presentation today, Greer didn't mention Hellendale.
1850000	1854000	So I don't know, I really don't understand what the play here was.
1854000	1862000	I don't know who this is attempting to kind of confuse or fool, especially because people in my discord, as I post this live, there was a user.
1862000	1863000	It's really smart guy.
1863000	1864000	His name is rectified.
1864000	1867000	He knew he said immediately, hey, this is Hellendale.
1867000	1869000	And I'm sure multiple people recognize it as well.
1869000	1877000	So within the presentation, Greer stated that he didn't say the name Hellendale and the images of Hellendale have been stripped off the DPI archive.
1878000	1885000	But he Greer states that this director of black operations took him to this Hellendale site.
1885000	1891000	He says that this Hellendale plant is a staging ground for electro gravitic ARV or alien reproduction vehicle.
1891000	1893000	I'll be saying ARV the rest of the time.
1893000	1900000	The diamonds here on the runway Greer states are for using kind of scalar technologies.
1901000	1912000	So scalar technologies to kind of test human made ARVs and their resilience to kind of EMP weaponry or to bring down ET craft.
1912000	1920000	Greer states that I think one to two craft are brought down by this site in particular, maybe all sites a year.
